Source,Name,Blackbody Temperature (K),Luminosity (erg/s),Inner Radius (lg(cm)),Outer Radius (lg(cm)),Hden (cm-3)
SDSS,spec-56669-GAC097N37B2_sp07-122.fits.gz_residual_highpass.txt,28000.0,30.0,8.0,13.0,11.0
SDSS,spec-55931-GAC_106N28_M1_sp02-059.fits.gz_residual_highpass.txt,16000.0,28.0,9.0,14.0,13.0
SDSS,spec-58129-K2QSOB01_sp08-242.fits.gz_residual_highpass.txt,15000.0,31.0,11.0,13.0,11.0
SDSS,spec-58103-GAC108N20M1_sp04-032.fits.gz_residual_highpass.txt,27000.0,29.0,8.0,12.0,9.0
SDSS,spec-58103-GACII017N56M1_sp11-201.fits.gz_residual_highpass.txt,15000.0,29.0,15.0,16.0,9.0
SDSS,spec-58610-GACII282N07M1_sp06-080.fits.gz_residual_highpass.txt,25000.0,26.0,6.0,8.0,9.0
SDSS,spec-56561-M31023N33B2_sp05-139.fits.gz_residual_highpass.txt,26000.0,20.0,8.0,12.0,13.0
SDSS,spec-57373-EG032843N042125M01_sp15-145.fits.gz_residual_highpass.txt,15000.0,26.0,12.0,15.0,5.0
SDSS,spec-57319-HD034854N505024V01_sp02-038.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-57871-HD104915N103242M02_sp06-241.fits.gz_residual_highpass.txt,15000.0,27.0,13.0,15.0,5.0
SDSS,spec-59166-GACII038N42M1_sp01-144.fits.gz_residual_highpass.txt,17000.0,27.0,9.0,15.0,13.0
SDSS,spec-56632-GAC107N36M1_sp16-061.fits.gz_residual_highpass.txt,29000.0,35.0,13.0,14.0,5.0
SDSS,spec-59251-HD081205N465629M02_sp05-024.fits.gz_residual_highpass.txt,25000.0,30.0,13.0,14.0,13.0
SDSS,spec-58131-K2QSOB01_sp08-242.fits.gz_residual_highpass.txt,24000.0,22.0,7.0,12.0,21.0
SDSS,spec-57887-HD153145N202238B01_sp07-062.fits.gz_residual_highpass.txt,21000.0,29.0,7.0,8.0,9.0
SDSS,spec-57755-HD093318N282204M02_sp06-079.fits.gz_residual_highpass.txt,38000.0,30.0,10.0,11.0,13.0
SDSS,spec-58903-HD130439N535127M02_sp04-250.fits.gz_residual_highpass.txt,36000.0,21.0,6.0,13.0,7.0
SDSS,spec-57486-HD143813N181754M01_sp14-083.fits.gz_residual_highpass.txt,15000.0,28.0,10.0,11.0,13.0
SDSS,spec-58074-GAC077S03M1_sp13-014.fits.gz_residual_highpass.txt,12000.0,31.0,8.0,10.0,9.0
SDSS,spec-56679-GAC078N31B1_sp08-211.fits.gz_residual_highpass.txt,12000.0,33.0,11.0,14.0,11.0
